instance_id,repo,base_commit,reviewer,prompt_variant,template_id,file,line_start,line_end,severity,message,is_hit,matched_oracle_site_id,tolerance,raw_output_path,latency_seconds,input_tokens,output_tokens,estimated_cost_usd,instance_n_oracle_files,skipped_reason,cache_hit
astropy__astropy-14995,astropy/astropy,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,claude-sonnet-4-5,A,v1,astropy/nddata/mixins/ndarithmetic.py,303,303,high,Potential AttributeError when operand is None and propagate_uncertainties is False.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\round2\llm\raw\b95e8f88c7118604874e3b8633b4b50ef5d0c53fdf1e38c316737ed575fa8286.txt,7.859000000054948,9425,500,0.035775,1,,False
astropy__astropy-14995,astropy/astropy,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,claude-sonnet-4-5,A,v1,astropy/nddata/mixins/ndarithmetic.py,331,331,high,Potential AttributeError when operand is None in handle_mask 'first_found' branch.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\round2\llm\raw\b95e8f88c7118604874e3b8633b4b50ef5d0c53fdf1e38c316737ed575fa8286.txt,7.859000000054948,9425,500,0.035775,1,,False
astropy__astropy-14995,astropy/astropy,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,claude-sonnet-4-5,A,v1,astropy/nddata/mixins/ndarithmetic.py,343,343,high,Potential AttributeError when operand is None in handle_meta 'first_found' branch.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\round2\llm\raw\b95e8f88c7118604874e3b8633b4b50ef5d0c53fdf1e38c316737ed575fa8286.txt,7.859000000054948,9425,500,0.035775,1,,False
astropy__astropy-14995,astropy/astropy,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,claude-sonnet-4-5,A,v1,astropy/nddata/mixins/ndarithmetic.py,379,379,high,Potential AttributeError when operand is None accessing operand.unit.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\round2\llm\raw\b95e8f88c7118604874e3b8633b4b50ef5d0c53fdf1e38c316737ed575fa8286.txt,7.859000000054948,9425,500,0.035775,1,,False
astropy__astropy-14995,astropy/astropy,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,claude-sonnet-4-5,A,v1,astropy/nddata/mixins/ndarithmetic.py,517,517,medium,Redundant check for operand is not None when operand.mask is already accessed.,True,site-0001,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\round2\llm\raw\b95e8f88c7118604874e3b8633b4b50ef5d0c53fdf1e38c316737ed575fa8286.txt,7.859000000054948,9425,500,0.035775,1,,False
astropy__astropy-14995,astropy/astropy,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,claude-sonnet-4-5,A,v1,astropy/nddata/mixins/ndarithmetic.py,520,520,medium,Redundant check for operand is not None when operand.mask is already accessed.,True,site-0001,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\round2\llm\raw\b95e8f88c7118604874e3b8633b4b50ef5d0c53fdf1e38c316737ed575fa8286.txt,7.859000000054948,9425,500,0.035775,1,,False
django__django-11001,django/django,ef082ebb84f00e38af4e8880d04e8365c2766d34,claude-sonnet-4-5,A,v1,django/db/models/sql/compiler.py,356,356,high,Potential AttributeError if ordering_parts.search(sql) returns None.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\round2\llm\raw\496f45df2ea40add11ee5717a04ddad379d858b4bbfb11a1904d636f4e56eb38.txt,5.016000000061467,21916,235,0.069273,1,,False
django__django-11001,django/django,ef082ebb84f00e38af4e8880d04e8365c2766d34,claude-sonnet-4-5,A,v1,django/db/models/sql/compiler.py,369,369,high,Potential AttributeError if ordering_parts.search(sql) returns None.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\round2\llm\raw\496f45df2ea40add11ee5717a04ddad379d858b4bbfb11a1904d636f4e56eb38.txt,5.016000000061467,21916,235,0.069273,1,,False
django__django-11001,django/django,ef082ebb84f00e38af4e8880d04e8365c2766d34,claude-sonnet-4-5,A,v1,django/db/models/sql/compiler.py,1244,1244,medium,zip() on empty value_rows will raise ValueError when unpacking.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\round2\llm\raw\496f45df2ea40add11ee5717a04ddad379d858b4bbfb11a1904d636f4e56eb38.txt,5.016000000061467,21916,235,0.069273,1,,False
django__django-11049,django/django,17455e924e243e7a55e8a38f45966d8cbb27c273,claude-sonnet-4-5,A,v1,django/db/models/fields/__init__.py,806,806,high,Missing 'and' operator between 'self.null' and 'not connection.features.interprets_empty_strings_as_nulls' creates incorrect boolean logic.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\round2\llm\raw\7e69b888d93d867f0b5241e1a19dbb979035801389d3a13018de027ba2ca02ee.txt,4.905999999959022,29080,186,0.09003,1,,False
