instance_id,repo,base_commit,reviewer,file,line_start,line_end,severity,message,is_hit,matched_oracle_site_id,tolerance,raw_output_path,latency_seconds,input_tokens,output_tokens,estimated_cost_usd,instance_n_oracle_files,skipped_reason
django__django-11099,django/django,d26b2424437dabeeca94d7900b37d2df4410da0c,gpt-4o-mini,django/contrib/auth/validators.py,20,20,medium,"The regex for UnicodeUsernameValidator is the same as ASCIIUsernameValidator, which may lead to confusion.",True,site-0002,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\llm\raw\5df9f2417a4cc0f27c369b33a5cc828b34945184c6ce9b5b7da101dddf3b4ac7.txt,7.032000000006519,439.0,127.0,0.00014205,1,
django__django-11099,django/django,d26b2424437dabeeca94d7900b37d2df4410da0c,gpt-4o-mini,django/contrib/auth/validators.py,25,25,medium,Using flags=0 for UnicodeUsernameValidator may not handle Unicode characters correctly.,True,site-0002,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\llm\raw\5df9f2417a4cc0f27c369b33a5cc828b34945184c6ce9b5b7da101dddf3b4ac7.txt,7.032000000006519,439.0,127.0,0.00014205,1,
django__django-11133,django/django,879cc3da6249e920b8d54518a0ae06de835d7373,claude-sonnet-4-5,django/http/response.py,173,173,high,Should use datetime.datetime.utcnow() instead of expires.utcnow() which is invalid.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\llm\raw\2e480ada5bae1128e7b8d502b9ba9664580727dcb6ee37e8a63410bddabceaaf.txt,4.4210000000020955,6942.0,163.0,0.023271,1,
django__django-11133,django/django,879cc3da6249e920b8d54518a0ae06de835d7373,claude-sonnet-4-5,django/http/response.py,199,199,medium,samesite validation excludes 'none' which is a valid SameSite value.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\llm\raw\2e480ada5bae1128e7b8d502b9ba9664580727dcb6ee37e8a63410bddabceaaf.txt,4.4210000000020955,6942.0,163.0,0.023271,1,
django__django-11133,django/django,879cc3da6249e920b8d54518a0ae06de835d7373,gpt-4o-mini,django/http/response.py,170,170,high,Using 'utcnow()' instead of 'now()' may lead to incorrect max_age calculation for aware datetime.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\llm\raw\4faac723a295d046879b890a5cf115a8b03d4c57855a97c585776dfddc51fd16.txt,11.609000000011292,5726.0,328.0,0.0010557,1,
django__django-11133,django/django,879cc3da6249e920b8d54518a0ae06de835d7373,gpt-4o-mini,django/http/response.py,180,180,high,Setting 'expires' to None before calculating 'max_age' can lead to incorrect cookie behavior.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\llm\raw\4faac723a295d046879b890a5cf115a8b03d4c57855a97c585776dfddc51fd16.txt,11.609000000011292,5726.0,328.0,0.0010557,1,
django__django-11133,django/django,879cc3da6249e920b8d54518a0ae06de835d7373,gpt-4o-mini,django/http/response.py,201,201,medium,"The 'samesite' attribute should be validated against all possible values, not just 'lax' and 'strict'.",False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\llm\raw\4faac723a295d046879b890a5cf115a8b03d4c57855a97c585776dfddc51fd16.txt,11.609000000011292,5726.0,328.0,0.0010557,1,
django__django-11133,django/django,879cc3da6249e920b8d54518a0ae06de835d7373,gpt-4o-mini,django/http/response.py,425,425,medium,Using 'filelike.name' directly may lead to an AttributeError if 'filelike' does not have a 'name' attribute.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\llm\raw\4faac723a295d046879b890a5cf115a8b03d4c57855a97c585776dfddc51fd16.txt,11.609000000011292,5726.0,328.0,0.0010557,1,
django__django-11133,django/django,879cc3da6249e920b8d54518a0ae06de835d7373,gpt-4o-mini,django/http/response.py,431,431,medium,The content type may not be set correctly if 'filename' is not provided.,False,,3,D:\Jet_brains\SWE-Review-Bench-MVP\.cache\llm\raw\4faac723a295d046879b890a5cf115a8b03d4c57855a97c585776dfddc51fd16.txt,11.609000000011292,5726.0,328.0,0.0010557,1,
django__django-11133,django/django,879cc3da6249e920b8d54518a0ae06de835d7373,static,django/http/response.py,130,130,high,E1101: Instance of 'UnicodeError' has no 'reason' member,False,,3,,3.3439999999973224,,,,1,
